incident_id,paper_category_type,paper_category,project_category,agreement,notes
3,application_area,AI supervision,Other or unclear,Disagree,"Current snapshot title: Crashes with Maneuvering Characteristics Augmentation System (MCAS). The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
91,application_area,AI supervision,Smart healthcare,Disagree,"Current snapshot title: Frontline workers protest at Stanford after hospital distributed vaccine to administrators. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
123,application_area,AI supervision,Smart healthcare,Disagree,"Current snapshot title: Epic Systems’s Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
131,application_area,AI supervision,AI education,Disagree,"Current snapshot title: Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
11,application_area,Autonomous driving,Predictive policing,Disagree,"Current snapshot title: Northpointe Risk Models. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
66,application_area,Autonomous driving,Language/vision model,Disagree,"Current snapshot title: Chinese Chatbots Question Communist Party. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
90,application_area,Autonomous driving,,Missing from snapshot,"Incident ID was not present in the current cleaned public snapshot, so this paper anchor could not be checked."
28,application_area,Identity authentication,Smart finance,Disagree,"Current snapshot title: 2010 Market Flash Crash. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
31,application_area,Identity authentication,Autonomous driving,Disagree,"Current snapshot title: Driverless Train in Delhi Crashes due to Braking Failure. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
46,application_area,Identity authentication,Smart home,Disagree,"Current snapshot title: Nest Smoke Alarm Erroneously Stops Alarming. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
70,application_area,Identity authentication,Autonomous driving,Disagree,"Current snapshot title: Self-driving cars in winter. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
133,application_area,Identity authentication,AI supervision,Disagree,"Current snapshot title: Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
138,application_area,Identity authentication,AI education,Disagree,"Current snapshot title: University of Illinois' Proctorio Remote-Proctoring Deployment Reportedly Raised Student Rights Concerns. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
2,application_area,Intelligent recommendation,Intelligent service robots,Disagree,"Current snapshot title: Warehouse robot ruptures can of bear spray and injures workers. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
17,application_area,Intelligent recommendation,Language/vision model,Disagree,"Current snapshot title: Inappropriate Gmail Smart Reply Suggestions. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
5,application_area,Intelligent service robots,Intelligent service robots,Agree,Current snapshot title: Collection of Robotic Surgery Malfunctions. Manual directed coding matched the paper-named category on this checked incident.
9,application_area,Intelligent service robots,AI education,Disagree,"Current snapshot title: New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Teachers. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
56,application_area,Intelligent service robots,Language/vision model,Disagree,"Current snapshot title: AI-Designed Phone Cases Are Unexpected. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
63,application_area,Intelligent service robots,Language/vision model,Disagree,"Current snapshot title: Google Photo Merge Decapitates Subject. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
64,application_area,Intelligent service robots,Intelligent service robots,Agree,Current snapshot title: Customer Service Robot Scares Away Customers. Manual directed coding matched the paper-named category on this checked incident.
114,application_area,Intelligent service robots,Identity authentication,Disagree,"Current snapshot title: Amazon's Rekognition Falsely Matched Members of Congress to Mugshots. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
141,application_area,Intelligent service robots,AI supervision,Disagree,"Current snapshot title: California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
14,application_area,Language/vision model,Language/vision model,Agree,Current snapshot title: Biased Sentiment Analysis. Manual directed coding matched the paper-named category on this checked incident.
134,application_area,Language/vision model,Intelligent service robots,Disagree,"Current snapshot title: Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
14,ethics_issue,Gender discrimination,Racial discrimination; Gender discrimination,Agree,Current snapshot title: Biased Sentiment Analysis. Manual directed coding matched the paper-named category on this checked incident.
17,ethics_issue,Gender discrimination,Inappropriate use (bad performance),Disagree,"Current snapshot title: Inappropriate Gmail Smart Reply Suggestions. The current public snapshot and this project's coding do not match the paper-named category, which likely reflects AIID drift, different incident descriptions, or sample-selection differences."
