incident_id,source_field,source_value,mapped_ethics_issue,mapped_application_area,mapping_reason
28,text_for_classification,stock exchange,,Smart finance,"Matched finance, insurance, or trading terms."
28,text_for_classification,crash,Physical safety,,"Matched physical harm, collision, or fatality terms."
45,text_for_classification,autocomplete,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
45,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
270,text_for_classification,ranking algorithm,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
270,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
29,text_for_classification,image classification,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
29,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
99,text_for_classification,student success,,AI education,Matched education-related deployment terms.
99,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
75,text_for_classification,autocomplete,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
75,text_for_classification,anti-semitic,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
9,text_for_classification,teacher ratings,,AI education,Matched education-related deployment terms.
9,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
257,text_for_classification,shotspotter,,Predictive policing,Matched policing or criminal-justice terms.
257,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
433,text_for_classification,predictive policing,,Predictive policing,Matched policing or criminal-justice terms.
433,text_for_classification,scoring,Unfair algorithm (evaluation),,"Matched automated evaluation, scoring, or eligibility terms."
112,text_for_classification,shotspotter,,Predictive policing,Matched policing or criminal-justice terms.
112,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
135,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
135,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
536,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
536,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
19,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
19,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
19,text_for_classification,sexist,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
280,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
280,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
196,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
196,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
409,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
409,text_for_classification,without consent,Privacy,,"Matched privacy, surveillance, or data-protection terms."
373,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
373,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
373,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
193,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
193,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
162,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
162,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
46,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
46,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
380,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
380,text_for_classification,anti-semitic,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
246,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
246,text_for_classification,stolen,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
527,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
527,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
24,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
24,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
10,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
10,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
8,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
8,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
260,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
260,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
260,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
334,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
334,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
35,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
35,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
326,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
326,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
387,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
387,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
206,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
206,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
206,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
335,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
335,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
335,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
336,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
336,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
336,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
327,text_for_classification,news feed,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
327,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
226,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
226,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
18,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
18,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
254,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
254,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
1,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
1,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
392,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
392,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
16,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
16,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
122,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
122,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
25,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
25,text_for_classification,crash,Physical safety,,"Matched physical harm, collision, or fatality terms."
57,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
57,text_for_classification,incorrect,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
69,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
69,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
5,text_for_classification,surgery,,Smart healthcare,Matched healthcare or clinical terms.
5,text_for_classification,injury,Physical safety,,"Matched physical harm, collision, or fatality terms."
406,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
406,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
458,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
458,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
195,text_for_classification,predictive policing,,Predictive policing,Matched policing or criminal-justice terms.
195,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
195,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
263,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
263,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
111,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
111,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
17,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
17,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
476,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
476,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
54,text_for_classification,predictive policing,,Predictive policing,Matched policing or criminal-justice terms.
54,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
34,text_for_classification,alexa,,Smart home,Matched home-assistant or smart-home terms.
34,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
110,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
110,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
231,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
231,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
250,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
250,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
407,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
407,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
70,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
70,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
296,text_for_classification,recommender,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
296,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
71,text_for_classification,waymo,,Autonomous driving,Matched autonomous-driving terms.
71,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
73,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
73,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
6,text_for_classification,chatbot,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
6,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
6,text_for_classification,sexist,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
53,text_for_classification,mugshot,,Predictive policing,Matched policing or criminal-justice terms.
53,text_for_classification,racial bias,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
429,text_for_classification,shotspotter,,Predictive policing,Matched policing or criminal-justice terms.
429,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
332,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
332,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
315,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
315,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
