paper_incident_number,paper_described_example,current_aiid_incident_id_checked,current_aiid_title,mapping_status,notes
2,Paper Incident 2 was cited in the paper's results discussion.,2,Warehouse robot ruptures can of bear spray and injures workers,ID space mismatch likely,Paper Incident 2 was cited in the paper's results discussion. Current AIID incident ID 2 is 'Warehouse robot ruptures can of bear spray and injures workers'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent recommendation.
3,Paper Incident 3 is described as a Starbucks worker monitoring example.,3,Crashes with Maneuvering Characteristics Augmentation System (MCAS),Does not map cleanly,"Paper Incident 3 is described as a Starbucks worker monitoring example. Current AIID incident ID 3 is 'Crashes with Maneuvering Characteristics Augmentation System (MCAS)', so the paper's numbering does not line up with the current public ID space."
5,Paper Incident 5 is cited as an intelligent service robots example.,5,Collection of Robotic Surgery Malfunctions,ID space mismatch likely,Paper Incident 5 is cited as an intelligent service robots example. Current AIID incident ID 5 is 'Collection of Robotic Surgery Malfunctions'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots; ethics_issue: Physical safety.
9,Paper Incident 9 was cited in the paper's results discussion.,9,New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Teachers,ID space mismatch likely,Paper Incident 9 was cited in the paper's results discussion. Current AIID incident ID 9 is 'New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Teachers'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent service robots.
11,Paper Incident 11 is described as the Uber self-driving fatality example.,11,Northpointe Risk Models,Does not map cleanly,"Paper Incident 11 is described as the Uber self-driving fatality example. Current AIID incident ID 11 is 'Northpointe Risk Models', so the paper's numbering does not line up with the current public ID space."
12,Paper Incident 12 was cited in the paper's results discussion.,12,Common Biases of Vector Embeddings,ID space mismatch likely,Paper Incident 12 was cited in the paper's results discussion. Current AIID incident ID 12 is 'Common Biases of Vector Embeddings'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Unfair algorithm (evaluation).
14,Paper Incident 14 is cited as a language/vision example.,14,Biased Sentiment Analysis,ID space mismatch likely,Paper Incident 14 is cited as a language/vision example. Current AIID incident ID 14 is 'Biased Sentiment Analysis'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Language/vision model; ethics_issue: Gender discrimination.
17,Paper Incident 17 was cited in the paper's results discussion.,17,Inappropriate Gmail Smart Reply Suggestions,ID space mismatch likely,Paper Incident 17 was cited in the paper's results discussion. Current AIID incident ID 17 is 'Inappropriate Gmail Smart Reply Suggestions'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Intelligent recommendation; ethics_issue: Gender discrimination.
20,Paper Incident 20 was cited in the paper's results discussion.,20,A Collection of Tesla Autopilot-Involved Crashes,ID space mismatch likely,Paper Incident 20 was cited in the paper's results discussion. Current AIID incident ID 20 is 'A Collection of Tesla Autopilot-Involved Crashes'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Gender discrimination.
27,Paper Incident 27 was cited in the paper's results discussion.,27,,Unable to verify,The paper's incident number could not be checked against the current cleaned snapshot because no matching AIID incident ID was present.
28,Paper Incident 28 is described as an iPhone Face ID bypass example.,28,2010 Market Flash Crash,Does not map cleanly,"Paper Incident 28 is described as an iPhone Face ID bypass example. Current AIID incident ID 28 is '2010 Market Flash Crash', so the paper's numbering does not line up with the current public ID space."
30,Paper Incident 30 was cited in the paper's results discussion.,30,Poor Performance of Tesla Factory Robots,ID space mismatch likely,Paper Incident 30 was cited in the paper's results discussion. Current AIID incident ID 30 is 'Poor Performance of Tesla Factory Robots'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: ethics_issue: Inappropriate use (bad performance).
31,Paper Incident 31 was cited in the paper's results discussion.,31,Driverless Train in Delhi Crashes due to Braking Failure,ID space mismatch likely,Paper Incident 31 was cited in the paper's results discussion. Current AIID incident ID 31 is 'Driverless Train in Delhi Crashes due to Braking Failure'. This suggests the paper used internal sequence numbers for its 150-case sample rather than stable public AIID IDs. Paper context: application_area: Identity authentication.
