category_type,category_name,paper_reported_count,notes
application_area,Intelligent service robots,31,"Wei and Zhou (2022), Section 4.3"
application_area,Language/vision model,27,"Wei and Zhou (2022), Section 4.3"
application_area,Autonomous driving,17,"Wei and Zhou (2022), Section 4.3"
application_area,Intelligent recommendation,14,"Wei and Zhou (2022), Section 4.3"
application_area,Identity authentication,14,"Wei and Zhou (2022), Section 4.3"
application_area,AI supervision,14,"Wei and Zhou (2022), Section 4.3"
application_area,Smart healthcare,10,"Wei and Zhou (2022), Section 4.3"
application_area,AI recruitment,10,"Wei and Zhou (2022), Section 4.3"
application_area,Predictive policing,5,"Wei and Zhou (2022), Section 4.3"
application_area,Smart finance,4,"Wei and Zhou (2022), Section 4.3"
application_area,AI game,2,"Wei and Zhou (2022), Section 4.3"
application_area,Smart home,2,"Wei and Zhou (2022), Section 4.3"
application_area,AI education,2,"Wei and Zhou (2022), Section 4.3"
ethics_issue,Inappropriate use (bad performance),48,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Racial discrimination,38,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Physical safety,32,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Unfair algorithm (evaluation),22,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Gender discrimination,19,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Privacy,12,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Unethical use (illegal use),11,"Wei and Zhou (2022), Section 4.4"
ethics_issue,Mental health,4,"Wei and Zhou (2022), Section 4.4"
